Date,Close/Last,Volume,Open,High,Low
11/26/2024,$338.23,62295860,$341.00,$346.96,$335.66
11/25/2024,$338.59,95890900,$360.14,$361.93,$338.20
11/22/2024,$352.56,89140720,$341.085,$361.53,$337.70
11/21/2024,$339.64,58011720,$343.81,$347.9899,$335.28
11/20/2024,$342.03,66340650,$345.00,$346.5999,$334.30
11/19/2024,$346.00,88852450,$335.76,$347.3799,$332.75
11/18/2024,$338.74,126547500,$340.73,$348.5499,$330.01
11/15/2024,$320.72,114440300,$310.57,$324.6799,$309.22
11/14/2024,$311.18,120726100,$327.69,$329.98,$310.37
11/13/2024,$330.24,125405600,$335.85,$344.5999,$322.50
11/12/2024,$328.49,155726000,$342.74,$345.84,$323.31
11/11/2024,$350.00,210521600,$346.30,$358.64,$336.00
11/08/2024,$321.22,204782800,$299.14,$328.71,$297.66
11/07/2024,$296.91,117309200,$288.89,$299.75,$285.52
11/06/2024,$288.53,165228700,$284.67,$289.59,$275.62
11/05/2024,$251.44,69282510,$247.34,$255.2799,$246.2101
11/04/2024,$242.84,68802350,$244.56,$248.90,$238.88
11/01/2024,$248.98,57544760,$252.043,$254.00,$246.63
10/31/2024,$249.85,66575290,$257.99,$259.75,$249.25
10/30/2024,$257.55,53993580,$258.035,$263.35,$255.8201
10/29/2024,$259.52,80521750,$264.51,$264.98,$255.51
10/28/2024,$262.51,107653600,$270.00,$273.536,$262.24
10/25/2024,$269.19,161611900,$256.01,$269.49,$255.32
10/24/2024,$260.48,204491900,$244.68,$262.1199,$242.65
10/23/2024,$213.65,80938890,$217.125,$218.72,$212.11
10/22/2024,$217.97,43268740,$217.31,$218.22,$215.26
10/21/2024,$218.85,47328990,$218.90,$220.48,$215.726
10/18/2024,$220.70,49611870,$220.71,$222.28,$219.23
10/17/2024,$220.89,50791780,$221.59,$222.08,$217.90
10/16/2024,$221.33,49632820,$221.40,$222.8199,$218.93
10/15/2024,$219.57,62988790,$220.01,$224.26,$217.12
10/14/2024,$219.16,86291920,$220.13,$221.91,$213.74
10/11/2024,$217.80,142628900,$220.13,$223.34,$214.38
10/10/2024,$238.77,83087060,$241.81,$242.7899,$232.34
10/09/2024,$241.05,66289530,$243.82,$247.43,$239.51
10/08/2024,$244.50,56303160,$243.56,$246.21,$240.56
10/07/2024,$240.83,68113270,$249.00,$249.83,$240.70
10/04/2024,$250.08,86726290,$246.69,$250.96,$244.58
10/03/2024,$240.66,80729240,$244.48,$249.79,$237.81
10/02/2024,$249.02,93983930,$247.55,$251.1585,$241.50
10/01/2024,$258.02,87397610,$262.67,$263.98,$248.53
09/30/2024,$261.63,80873380,$259.04,$264.86,$255.77
09/27/2024,$260.46,70988070,$257.375,$260.6999,$254.12
09/26/2024,$254.22,67142190,$260.60,$261.75,$251.53
09/25/2024,$257.02,65034320,$252.54,$257.05,$252.28
09/24/2024,$254.27,88491000,$254.08,$257.19,$249.0501
09/23/2024,$250.00,86927190,$242.61,$250.00,$241.92
09/20/2024,$238.25,99879070,$241.52,$243.99,$235.92
09/19/2024,$243.92,102694600,$234.00,$244.24,$232.13
09/18/2024,$227.20,78010200,$230.09,$235.68,$226.88
09/17/2024,$227.87,66761640,$229.45,$234.57,$226.5533
09/16/2024,$226.78,54323000,$229.30,$229.96,$223.53
09/13/2024,$230.29,59515110,$228.00,$232.67,$226.32
09/12/2024,$229.81,72020040,$224.66,$231.45,$223.83
09/11/2024,$228.13,83548630,$224.55,$228.47,$216.8003
09/10/2024,$226.17,78891140,$220.07,$226.40,$218.6377
09/09/2024,$216.27,67443520,$216.20,$219.87,$213.67
09/06/2024,$210.73,112177000,$232.60,$233.60,$210.51
09/05/2024,$230.17,119355000,$223.49,$235.00,$222.25
09/04/2024,$219.41,80651770,$210.59,$222.22,$210.57
09/03/2024,$210.60,76714220,$215.26,$219.9043,$209.64
08/30/2024,$214.11,63370610,$208.63,$214.5701,$207.03
08/29/2024,$206.28,62308820,$209.80,$214.89,$205.97
08/28/2024,$205.75,64116350,$209.72,$211.84,$202.59
08/27/2024,$209.21,62821390,$213.25,$215.66,$206.94
08/26/2024,$213.21,59301190,$218.75,$219.09,$211.01
08/23/2024,$220.32,81525210,$214.455,$221.48,$214.21
08/22/2024,$210.66,79514480,$223.82,$224.80,$210.32
08/21/2024,$223.27,70145960,$222.67,$224.6594,$218.86
08/20/2024,$221.10,74001180,$224.88,$228.22,$219.56
08/19/2024,$222.72,76435220,$217.07,$222.98,$214.09
08/16/2024,$216.12,88765120,$211.15,$219.80,$210.80
08/15/2024,$214.14,89848530,$205.02,$215.88,$204.82
08/14/2024,$201.38,70250010,$207.39,$208.44,$198.75
08/13/2024,$207.83,76247390,$198.47,$208.49,$197.06
08/12/2024,$197.49,64044900,$199.02,$199.26,$194.67
08/09/2024,$200.00,58648270,$197.05,$200.88,$195.11
08/08/2024,$198.84,65033870,$195.70,$200.70,$192.04
08/07/2024,$191.76,71159780,$200.77,$203.49,$191.48
08/06/2024,$200.64,73783940,$200.75,$202.90,$192.67
